text,gloss
আমি বাসে স্কুলে যাই।,আমি বাস স্কুল যাওয়া
আজকের খবর নিয়ে আলোচনা হচ্ছে।,আজ খবর আলোচনা হওয়া
নতুন দক্ষতা শেখা গুরুত্বপূর্ণ।,নতুন দক্ষতা শেখা গুরুত্বপূর্ণ
তোমার পরীক্ষা কখন শুরু হবে?,তোমার পরীক্ষা কখন শুরু হওয়া
পরিবারের সবাই একসাথে ঈদ পালন করে।,পরিবার সবাই একসাথে ঈদ পালন করা
জীবনে ভুল থেকেই শেখা হয়।,জীবন ভুল থেকে শেখা হওয়া
আমি জাতীয় পুরস্কার পেয়েছি।,আমি জাতীয় পুরস্কার পাওয়া
সে প্রতিদিন সকালের নাস্তা খায়।,সে প্রতিদিন সকাল নাস্তা খাওয়া
আমি ডাক্তার হতে চাই।,আমি ডাক্তার হতে চাওয়া
আমি আগামী বছর বিশ্ববিদ্যালয়ে ভর্তি হতে চাই।,আমি আগামী বছর বিশ্ববিদ্যালয়ে ভর্তি হওয়া চাই
পরীক্ষা কবে হবে?,পরীক্ষা কখন হওয়া
আমি আজ খুব খুশি অনুভব করছি।,আমি আজ খুব খুশি অনুভব করা
আমার শিক্ষক খুব সহায়ক।,আমার শিক্ষক সহায়ক হওয়া
আমার পরিবার খুব বড়।,আমার পরিবার বড় হওয়া
বোরিং লাগলে বই পড়ো।,বোরিং লাগা বই পড়া
আমি স্কুলে পড়তে যাই।,আমি স্কুল পড়া যাওয়া
আমি আজ খুব খুশি।,আমি আজ খুব খুশি হওয়া
আমি আজ সকালে ডাক্তারের কাছে গিয়েছিলাম।,আমি ডাক্তারের কাছে যাওয়া আজ সকাল
আমি একটি পুরস্কার পেয়েছি।,আমি পুরস্কার পাওয়া
আমি টাকা জমাচ্ছি।,আমি টাকা জমা করা
আমি আজ স্কুলে নতুন বই পেয়েছি।,আমি আজ স্কুল নতুন বই পাওয়া
টাকা জমাতে সবাই চেষ্টা করা উচিত।,টাকা জমাতে সবাই চেষ্টা করা উচিত
আমি ভাত রান্না করছি।,আমি ভাত রান্না করা
স্কুলে আমি প্রতিদিন ছয়টা ক্লাস করি।,আমি স্কুল প্রতিদিন ছয়টা ক্লাস করা
বর্তমানে প্রযুক্তিতে অনেক পরিবর্তন হচ্ছে।,বর্তমানে প্রযুক্তি অনেক পরিবর্তন হওয়া
তুমি আজকের অ্যাসাইনমেন্ট জমা দিয়েছো?,তুমি আজ অ্যাসাইনমেন্ট জমা দেওয়া ?
আমি আজ নতুন ক্যামেরা দিয়ে ছবি তুলেছি।,আমি আজ নতুন ক্যামেরা দিয়ে ছবি তোলা
আজ আকাশে মেঘ আছে।,আজ আকাশ মেঘ থাকা
স্কুল শেষে আমি খেলতে যাই।,স্কুল শেষে আমি খেলা যেতে
আমি গৃহকর্ম শেষ করেছি।,আমি গৃহকর্ম করা শেষ করা
আমি গল্প লিখছি।,আমি গল্প লেখা
আমি আগামী সপ্তাহে ঢাকা যাব।,আমি আগামী সপ্তাহ ঢাকা যাওয়া
গল্প লেখার জন্য কল্পনা শক্তি দরকার।,গল্প লেখা চাই কল্পনা শক্তি
আমি ভাত রান্না করছি।,আমি ভাত রান্না করা
আপনি কি ছবি তুলেছেন?,আপনি ছবি তোলা ?
বনে অনেক গাছ আছে।,বন অনেক গাছ থাকা
আমি আজ অসুস্থ বোধ করছি।,আমি আজ অসুস্থ বোধ করা
বাসে চড়ে অফিসে যাই।,বাস চড়া অফিস যাওয়া
একাকী থাকলে মাঝে মাঝে অনেক বোরিং লাগে।,একাকী থাকা মাঝে মাঝে বোরিং লাগা
আমি সকাল ছয়টায় ঘুম থেকে উঠি।,আমি সকাল ছয়টা ঘুম থেকে উঠা
পোষা প্রাণীর যত্ন নিতে হয়।,পোষা প্রাণী যত্ন নিতে হয়
আমি আজকের গৃহকর্ম জমা দিয়েছি।,আমি আজ গৃহকর্ম জমা দেওয়া
আমি আন্তর্জাতিক পুরস্কার পেয়েছি।,আন্তর্জাতিক পুরস্কার আমি পাওয়া
আমি বাজারে যাচ্ছি।,আমি বাজার যাওয়া
আমি আজকের সন্ধ্যার মধ্যে আমার গণিতের বাড়ির কাজ জমা দিব।,আমি আজ সন্ধ্যা মধ্যে আমার গণিত বাড়ির কাজ জমা দিতে
