text,gloss
আমি প্রতিদিন সকালে ঘুম থেকে উঠি।,আমি প্রতিদিন সকাল ঘুম থেকে উঠা
মা আজ খুব ভালো ইলিশ মাছ রান্না করেছেন।,মা আজ খুব ভালো ইলিশ মাছ রান্না করা
আমার ভাই বোনদের সাথে খেলতে ভালোবাসে।,আমার ভাই বোন একসাথে খেলা ভালোবাসা
তুমি কি দুপুরের খাবার খেয়েছো?,তুমি দুপুরের খাবার খাওয়া
বাবা সন্ধ্যায় বাজার থেকে ফিরবেন।,বাবা সন্ধ্যা বাজার ফিরা
ভাতের সাথে ডাল না হলে আমার চলেই না।,ভাতের সাথে ডাল না আমার না চলা
দাদি আমাদের পুরানো দিনের গল্প শোনাতেন।,দাদি আমাদের পুরানো দিন গল্প শোনা
বাচ্চারা মিষ্টি খেতে খুব পছন্দ করে।,বাচ্চারা মিষ্টি খাওয়া পছন্দ
সে রোজ নিয়ম করে হাঁটতে যায়।,সে রোজ নিয়ম করে হাটতে যাওয়া
ফ্রিজে রাখা বাসি খাবার খাওয়া ঠিক নয়।,ফ্রিজে রাখা বাসি খাবার খাওয়া ঠিক না
আমার ছেলেটা স্কুলে যেতে চায় না।,আমার ছেলে স্কুল যাওয়া চায় না
আমরা সবাই মিলে ঈদে বাড়ি যাই।,আমরা সবাই মিলে ঈদ বাড়ি যাওয়া
আপনি কি চা খাবেন?,আপনি চা খাওয়া
শিক্ষকরা ছাত্রদের যত্ন সহকারে পড়ান।,শিক্ষকরা ছাত্ররা যত্ন নিয়ে পড়ানো
পোলাওয়ের চালটা ভালো করে ধুয়ে নাও।,পোলাওয়ের চাল ভালো করে ধোয়া
অতিরিক্ত তেল-মশলা স্বাস্থ্যের জন্য ক্ষতিকর।,অতিরিক্ত তেল-মশলা স্বাস্থ্য ক্ষতিকর
সে পরীক্ষায় প্রথম হয়েছে।,সে পরীক্ষা প্রথম হওয়া
আমি আমার ঘর গুছিয়ে রাখছিলাম।,আমি আমার ঘর গোছানো
তার সাথে আমার অনেকদিন দেখা হয় না।,তার সাথে আমার অনেকদিন দেখা না
বিরিয়ানির গন্ধটা দারুন লাগছে।,বিরিয়ানির গন্ধ দারুণ
বস আজ অফিসে নতুন একটা নিয়ম চালু করেছেন।,বস আজ অফিস নতুন নিয়ম চালু
ঢাকার রাস্তায় প্রতিদিন অনেক জ্যাম থাকে।,ঢাকার রাস্তায় প্রতিদিন অনেক জ্যাম
কাল আমাদের গণিত পরীক্ষা ছিল।,গতকাল আমাদের গণিত পরীক্ষা ছিলো
আমি একটি সফটওয়্যার কোম্পানিতে চাকরি করি।,আমি একটি সফটওয়্যার কোম্পানি চাকরি করা
সে বাসের জন্য অপেক্ষা করছিল।,সে বাস জন্য অপেক্ষা
তোমরা কি স্কুলের হোমওয়ার্ক শেষ করেছো?,তোমরা স্কুল হোমওয়ার্ক শেষ ?
মিটিংটা ঠিক সময়ে শুরু হয়নি।,মিটিং ঠিক সময় শুরু না
রিকশাওয়ালা বেশি ভাড়া চাইছে।,রিকশাওয়ালা ভাড়া বেশি চাওয়া
বিশ্ববিদ্যালয় জীবন খুব মজার ছিল।,বিশ্ববিদ্যালয় জীবন খুব মজার
আমার সহকর্মীরা খুব সহযোগিতাপূর্ণ।,আমার সহকর্মীরা আমার সাথে খুব সহযোগিতাপূর্ণ
লঞ্চটি আগামীকাল সকালে ছাড়বে।,আগামীকাল সকাল লঞ্চ ছাড়া
সে তার কাজের প্রতি খুবই মনোযোগী।,সে কাজ প্রতি খুব মনোযোগী
ভালো ফলাফল করতে হলে নিয়মিত পড়তে হবে।,ভালো ফলাফল চাই নিয়মিত পড়া
প্লেনটা আকাশে উড়ছে।,প্লেন আকাশ উড়ে
আপনি কি আপনার ফাইলগুলো চেক করেছেন?,আপনি ফাইল চেক ?
আমাদের স্কুলটি নদীর পাড়ে অবস্থিত।,আমাদের স্কুল নদী পাড়ে
এই প্রজেক্টটা শেষ করতে অনেক সময় লাগবে।,এই প্রজেক্ট শেষ অনেক সময়
সাবধানে রাস্তা পার হও।,সাবধান রাস্তা পার
মাস শেষে বেতন পেলে ভালো লাগে।,মাস শেষ বেতন পাওয়া ভালো লাগে
আমি পড়াশোনা শেষ করে ডাক্তার হতে চাই।,আমি পড়াশোনা শেষ ডাক্তার হতে চাই
ডাক্তারের পরামর্শ মেনে চলা উচিত।,ডাক্তার পরামর্শ মেনে চলা উচিত
ঈদের বাজারে খুব ভিড়।,ঈদ বাজার খুব ভিড়
আমার মোবাইল ফোনটা ঠিকমতো কাজ করছে না।,মোবাইল ফোন আমার ঠিক কাজ না
সে গতকাল জ্বরে ভুগছিল।,সে গতকাল জ্বর ভুগে
আমি দোকান থেকে চাল আর ডাল কিনব।,আমি দোকান থেকে চাল ডাল কিনব
ইন্টারনেট ছাড়া এখন এক মুহূর্তও চলা কঠিন।,ইন্টারনেট ছাড়া এখন এক মুহূর্ত চলা কঠিন
নিয়মিত ব্যায়াম করা স্বাস্থ্যের জন্য ভালো।,নিয়মিত ব্যায়াম স্বাস্থ্য জন্য ভালো
এই শাড়িটার দাম কত?,এই শাড়ি দাম কত ?
সে সারাদিন ল্যাপটপে কাজ করে।,সে সারাদিন ল্যাপটপ কাজ
রোগীর অবস্থা এখন একটু ভালো।,রোগী অবস্থা এখন একটু ভালো
আপনি কি এই জামাটা পাল্টে দিতে পারবেন?,আপনি এই জামা পাল্টে দিতে পারবেন ?
নতুন প্রযুক্তি আমাদের জীবন সহজ করে দিয়েছে।,নতুন প্রযুক্তি আমাদের জীবন সহজ
আমার দাঁতে খুব ব্যথা করছে।,আমার দাঁত খুব ব্যথা
কাঁচাবাজারে সবজির দাম অনেক বেড়ে গেছে।,কাঁচাবাজার সবজি দাম অনেক বেড়েছে
তারা একটি নতুন অ্যাপ তৈরি করছে।,তারা নতুন অ্যাপ তৈরি
ঠাণ্ডা পানি খাবেন না।,ঠাণ্ডা পানি খাবেন না
আমি অনলাইন থেকে একটা বই অর্ডার করেছি।,আমি অনলাইন থেকে বই অর্ডার
তোমার কম্পিউটারে কি ভাইরাস ঢুকেছে?,তোমার কম্পিউটার ভাইরাস ঢুকেছে ?
মানসিক স্বাস্থ্যের যত্ন নেওয়া খুবই জরুরি।,মানসিক স্বাস্থ্য যত্ন খুব জরুরি
সে আমাকে একটা ইমেইল পাঠিয়েছিল।,সে আমাকে ইমেইল পাঠায়
আমরা গত শীতে কক্সবাজার গিয়েছিলাম।,আমরা গত শীত কক্সবাজার গেছি
পহেলা বৈশাখ বাঙালির প্রাণের উৎসব।,পহেলা বৈশাখ বাঙালি প্রাণ উৎসব
বাইরে ঝুম বৃষ্টি হচ্ছে।,বাইরে ভারী বৃষ্টি
ফেসবুকে আজকাল অনেক ভুয়া খবর ছড়ায়।,ফেসবুক আজকাল অনেক ভুয়া খবর ছড়ায়
আমি ভবিষ্যতে পুরো বিশ্ব ভ্রমণ করতে চাই।,আমি ভবিষ্যৎ পুরো বিশ্ব ভ্রমণ চাই
একুশে ফেব্রুয়ারি আমরা শহীদ মিনারে ফুল দিই।,একুশে ফেব্রুয়ারি আমরা শহীদ মিনার ফুল দিই
আজকের আবহাওয়াটা খুব সুন্দর।,আজ আবহাওয়া খুব সুন্দর
কাল নাকি অনেক গরম পড়বে।,কাল অনেক গরম হবে
